accountId,date,name,paymentChannel,type,AssignedCategory,ground_truth_category
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/7/2025,SEND E-TFR ***Ygf,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/7/2025,SEND E-TFR *YBZ AP,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/6/2025,SEND E-TFR ***hPU,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/6/2025,SEND E-TFR *BMY AP,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/6/2025,SEND E-TFR ***H6Y,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/6/2025,SEND E-TFR FEE,other,special,51800 Merchant Account Fees,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/5/2025,E-TRANSFER ***Bcu,other,special,Chair Rental:Lash Bed,Uncategorized Income
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/5/2025,SEND E-TFR ***EQ5,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/5/2025,SEND E-TFR *DWw AP,other,special,Subcontractor,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/4/2025,E-TRANSFER ***JgW,other,special,Chair Rental:Facial Room,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,2/3/2025,E-TRANSFER ***TRC,other,special,Chair Rental:Hair Chair,Uncategorized Income
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/3/2025,SEND E-TFR ***4TH,other,special,Subcontractor,Uncategorized Expense
VB7oxXXg8kh13J9qybrgU6vjoe3zNEIDnELPr,2/3/2025,SEND E-TFR FEE,other,special,51800 Merchant Account Fees,Uncategorized Expense
oEAPkrrjpyu38vjaeP70I7PBbRpDXoS5rKPRL,1/31/2025,E-TFR ***Jrj EPAY,other,special,Chair Rental:Hair Chair,Uncategorized Income
